"","year","month","day","dep_time","sched_dep_time","dep_delay","arr_time","sched_arr_time","arr_delay","carrier","flight","tailnum","origin","dest","air_time","distance","hour","minute","time_hour"
"1",2013,1,1,517,515,2,830,819,11,"UA",1545,"N14228","EWR","IAH",227,1400,5,15,2013-01-01 05:00:00
"2",2013,1,1,533,529,4,850,830,20,"UA",1714,"N24211","LGA","IAH",227,1416,5,29,2013-01-01 05:00:00
"3",2013,1,1,542,540,2,923,850,33,"AA",1141,"N619AA","JFK","MIA",160,1089,5,40,2013-01-01 05:00:00
"4",2013,1,1,544,545,-1,1004,1022,-18,"B6",725,"N804JB","JFK","BQN",183,1576,5,45,2013-01-01 05:00:00
"5",2013,1,1,554,600,-6,812,837,-25,"DL",461,"N668DN","LGA","ATL",116,762,6,0,2013-01-01 06:00:00
"6",2013,1,1,554,558,-4,740,728,12,"UA",1696,"N39463","EWR","ORD",150,719,5,58,2013-01-01 05:00:00
"7",2013,1,1,555,600,-5,913,854,19,"B6",507,"N516JB","EWR","FLL",158,1065,6,0,2013-01-01 06:00:00
"8",2013,1,1,557,600,-3,709,723,-14,"EV",5708,"N829AS","LGA","IAD",53,229,6,0,2013-01-01 06:00:00
"9",2013,1,1,557,600,-3,838,846,-8,"B6",79,"N593JB","JFK","MCO",140,944,6,0,2013-01-01 06:00:00
"10",2013,1,1,558,600,-2,753,745,8,"AA",301,"N3ALAA","LGA","ORD",138,733,6,0,2013-01-01 06:00:00
"11",2013,1,1,558,600,-2,849,851,-2,"B6",49,"N793JB","JFK","PBI",149,1028,6,0,2013-01-01 06:00:00
"12",2013,1,1,558,600,-2,853,856,-3,"B6",71,"N657JB","JFK","TPA",158,1005,6,0,2013-01-01 06:00:00
"13",2013,1,1,558,600,-2,924,917,7,"UA",194,"N29129","JFK","LAX",345,2475,6,0,2013-01-01 06:00:00
"14",2013,1,1,558,600,-2,923,937,-14,"UA",1124,"N53441","EWR","SFO",361,2565,6,0,2013-01-01 06:00:00
"15",2013,1,1,559,600,-1,941,910,31,"AA",707,"N3DUAA","LGA","DFW",257,1389,6,0,2013-01-01 06:00:00
"16",2013,1,1,559,559,0,702,706,-4,"B6",1806,"N708JB","JFK","BOS",44,187,5,59,2013-01-01 05:00:00
